timestamp,r_iops,w_iops,r_kB_s,w_kB_s,r_await_ms,w_await_ms,util_percent
1774506869,0.35,63.69,7.32,8310.80,2.77,6.69,5.60
1774506870,0.35,63.70,7.32,8310.76,2.77,6.71,5.61
1774506871,0.35,63.70,7.32,8310.70,2.77,6.72,5.61
1774506872,0.35,63.71,7.32,8310.62,2.77,6.73,5.61
1774506873,0.35,63.72,7.32,8310.71,2.77,6.74,5.61
1774506874,0.35,63.73,7.32,8310.67,2.77,6.75,5.61
1774506875,0.35,63.73,7.32,8310.60,2.77,6.77,5.61
1774506876,0.35,63.74,7.32,8310.54,2.77,6.78,5.61
1774506877,0.35,63.75,7.32,8310.47,2.77,6.79,5.62
1774506878,0.35,63.76,7.32,8310.81,2.77,6.80,5.62
1774506879,0.35,63.77,7.32,8311.35,2.77,6.81,5.62
1774506880,0.35,63.77,7.32,8311.26,2.77,6.83,5.62
1774506881,0.35,63.78,7.32,8311.19,2.77,6.84,5.62
1774506882,0.35,64.06,7.32,8311.36,2.77,6.81,5.62
1774506883,0.35,64.17,7.32,8311.99,2.77,6.80,5.62
1774506884,0.35,64.24,7.32,8312.45,2.77,6.80,5.62
1774506885,0.35,64.27,7.32,8312.52,2.77,6.81,5.63
1774506886,0.35,64.27,7.32,8313.05,2.77,6.81,5.63
1774506887,0.35,64.28,7.32,8312.97,2.77,6.81,5.63
1774506888,0.35,64.28,7.32,8312.83,2.77,6.81,5.63
1774506889,0.35,64.27,7.32,8312.68,2.77,6.81,5.63
1774506890,0.35,64.27,7.32,8312.54,2.77,6.81,5.63
1774506891,0.35,64.27,7.32,8312.40,2.77,6.81,5.63
1774506892,0.35,64.27,7.32,8312.25,2.77,6.81,5.63
1774506893,0.35,64.27,7.32,8312.65,2.77,6.81,5.63
1774506894,0.35,64.28,7.49,8312.96,2.75,6.81,5.63
1774506895,0.36,64.28,7.70,8312.83,2.71,6.81,5.63
1774506896,0.36,64.28,7.71,8312.75,2.71,6.81,5.63
1774506897,0.36,64.28,7.72,8312.60,2.71,6.81,5.63
1774506898,0.36,64.27,7.72,8312.46,2.71,6.81,5.63
1774506899,0.37,64.28,7.76,8312.46,2.69,6.81,5.63
1774506900,0.37,64.28,7.76,8312.32,2.69,6.81,5.63
1774506901,0.37,64.28,7.77,8312.20,2.68,6.81,5.63
1774506902,0.37,64.28,7.78,8312.17,2.67,6.81,5.63
1774506903,0.37,64.28,7.78,8312.03,2.67,6.81,5.63
1774506904,0.37,64.28,7.78,8311.89,2.67,6.81,5.63
1774506905,0.37,64.28,7.79,8311.87,2.66,6.81,5.63
1774506906,0.37,64.28,7.79,8311.79,2.66,6.81,5.63
1774506907,0.37,64.28,7.79,8311.64,2.66,6.81,5.63
1774506908,0.37,64.28,7.79,8311.50,2.66,6.81,5.63
1774506909,0.37,64.28,7.80,8311.43,2.66,6.81,5.63
1774506910,0.37,64.28,7.80,8311.33,2.66,6.81,5.63
1774506911,0.37,64.28,7.80,8311.18,2.66,6.81,5.63
1774506912,0.37,64.28,7.80,8311.04,2.66,6.81,5.63
1774506913,0.37,64.28,7.80,8311.03,2.66,6.81,5.63
1774506914,0.37,64.28,7.81,8310.89,2.66,6.81,5.63
