timestamp,mem_available
1774520770,56.79
1774520771,56.79
1774520772,56.79
1774520773,56.79
1774520774,56.79
1774520775,56.79
1774520776,56.79
1774520777,56.79
1774520778,56.74
1774520779,56.74
1774520780,56.74
1774520781,56.74
1774520782,56.74
1774520783,56.74
1774520784,56.74
1774520785,56.74
1774520786,56.74
1774520787,56.74
1774520788,56.74
1774520789,56.74
1774520790,56.73
1774520792,56.73
1774520793,56.73
1774520794,56.73
1774520795,56.73
1774520796,56.73
1774520797,56.73
1774520798,56.73
1774520799,56.73
1774520800,56.73
1774520801,56.73
1774520802,56.73
1774520803,56.73
1774520804,56.73
1774520805,56.73
1774520806,56.73
1774520807,56.73
1774520808,56.73
1774520809,56.77
1774520810,56.77
1774520811,56.77
1774520812,56.77
1774520813,56.77
1774520814,56.77
1774520815,56.77
1774520816,56.77
1774520817,56.77
1774520818,56.77
1774520819,56.77
1774520820,56.77
1774520821,56.77
1774520822,56.77
1774520823,56.77
1774520824,56.77
1774520825,56.77
1774520826,56.77
1774520827,56.77
1774520828,56.77
1774520829,56.77
1774520830,56.82
1774520831,56.86
1774520832,56.85
1774520833,56.85
1774520834,56.85
1774520835,56.84
1774520836,56.84
1774520837,56.84
1774520838,56.84
1774520839,56.84
1774520840,56.83
1774520841,56.83
1774520842,56.83
1774520843,56.83
1774520844,56.83
1774520845,56.83
1774520846,56.83
1774520847,56.83
1774520848,56.83
1774520849,56.83
1774520850,56.83
1774520851,56.82
1774520852,56.82
1774520853,56.82
1774520854,56.82
1774520855,56.82
1774520856,56.82
1774520857,56.82
1774520858,56.82
1774520859,56.82
1774520860,56.82
1774520861,56.82
1774520862,56.82
1774520863,56.82
1774520864,56.82
1774520865,56.82
1774520866,56.81
1774520867,56.81
1774520868,56.81
1774520869,56.81
1774520870,56.81
1774520871,56.81
1774520872,56.81
1774520873,56.81
1774520874,56.81
1774520875,56.81
1774520876,56.80
1774520877,56.80
1774520878,56.80
1774520879,56.80
1774520880,56.80
1774520881,56.80
1774520882,56.80
1774520883,56.84
1774520884,56.84
1774520885,56.84
1774520886,56.84
1774520887,56.84
1774520888,56.84
1774520890,56.84
1774520891,56.83
1774520892,56.83
1774520893,56.83
1774520894,56.83
1774520895,56.83
1774520896,56.83
1774520897,56.83
1774520898,56.83
1774520899,56.83
1774520900,56.83
1774520901,56.83
1774520902,56.83
1774520903,56.83
1774520904,56.83
1774520905,56.83
1774520906,56.83
1774520907,56.83
1774520908,56.83
1774520909,56.85
1774520910,56.85
1774520911,56.84
1774520912,56.84
1774520913,56.84
1774520914,56.84
1774520915,56.84
1774520916,56.84
1774520917,56.84
1774520918,56.84
1774520919,56.84
1774520920,56.84
1774520921,56.83
1774520922,56.83
1774520923,56.83
1774520924,56.83
1774520925,56.83
1774520926,56.83
1774520927,56.83
1774520928,56.83
1774520929,56.83
1774520930,56.83
1774520931,56.83
1774520932,56.83
1774520933,56.83
1774520934,56.83
1774520935,56.83
1774520936,56.83
1774520937,56.83
1774520938,56.83
1774520939,56.83
