timestamp,cpu_user,cpu_system,cpu_iowait,cpu_idle
1774592662,0.50,1.00,0.50,98.01
1774592663,0.00,1.01,0.00,98.99
1774592664,0.50,1.00,0.00,98.50
1774592665,0.00,1.01,0.00,98.99
1774592666,0.50,0.50,0.00,99.00
1774592667,0.50,1.01,0.00,98.49
1774592668,0.00,1.49,0.00,98.51
1774592669,0.50,1.00,0.00,98.50
1774592670,0.50,1.50,0.00,98.00
1774592671,0.00,1.01,0.00,98.99
1774592672,0.50,1.00,0.00,98.50
1774592673,0.50,1.00,0.00,98.50
1774592674,0.50,1.00,0.00,98.50
1774592675,0.50,1.01,0.00,98.49
1774592676,0.50,1.00,0.00,98.51
1774592677,0.50,1.00,0.00,98.50
1774592678,0.50,1.00,0.00,98.50
1774592679,0.00,1.01,0.00,98.99
1774592680,0.51,0.51,0.00,98.99
1774592681,0.50,1.00,0.00,98.51
1774592682,0.50,1.01,0.00,98.49
1774592683,0.51,0.51,0.00,98.99
1774592684,1.00,0.50,0.00,98.50
1774592685,0.00,1.01,0.00,98.99
1774592686,0.50,1.01,0.00,98.49
1774592687,0.50,1.00,0.00,98.51
1774592688,0.00,1.50,0.00,98.50
1774592689,0.50,0.50,0.00,98.99
1774592690,0.99,0.99,0.00,98.02
1774592691,0.00,1.01,0.50,98.49
1774592692,0.50,1.00,0.00,98.50
1774592693,0.00,1.01,0.00,98.99
1774592694,0.50,1.50,0.00,98.00
1774592695,0.00,1.50,0.00,98.50
1774592696,0.00,1.01,0.00,98.99
1774592697,1.00,0.50,0.00,98.51
1774592698,0.00,0.51,0.00,99.49
1774592699,0.00,0.51,0.00,99.49
1774592700,1.01,1.51,0.00,97.49
1774592701,0.00,1.00,0.00,99.00
1774592702,1.00,1.00,0.00,98.00
1774592703,0.00,1.01,0.00,98.99
1774592704,0.50,1.01,0.00,98.49
1774592705,0.00,1.00,0.00,99.00
1774592706,0.50,1.00,0.00,98.50
1774592707,0.50,1.00,0.00,98.50
1774592708,0.00,1.01,0.00,98.99
1774592709,1.00,1.00,0.00,98.01
1774592710,0.00,1.49,0.00,98.51
1774592711,0.00,1.01,0.00,98.99
1774592712,0.50,1.00,0.00,98.51
1774592713,0.00,1.01,0.00,98.99
1774592714,0.50,1.49,0.00,98.01
1774592715,0.00,1.51,0.00,98.49
1774592716,0.50,1.00,0.00,98.50
1774592717,0.50,1.99,0.00,97.51
1774592718,1.00,1.49,0.00,97.51
1774592719,0.00,1.01,0.00,98.99
1774592720,0.50,1.49,0.00,98.01
1774592721,0.00,1.50,0.00,98.50
1774592722,0.50,1.00,0.00,98.51
1774592723,0.00,1.00,0.00,99.00
1774592724,0.50,1.01,0.00,98.49
1774592725,0.00,1.49,0.00,98.51
1774592726,0.50,1.00,0.00,98.50
1774592728,0.00,1.51,0.00,98.49
1774592729,0.00,1.00,0.00,99.00
1774592730,0.99,0.99,0.00,98.02
1774592731,0.00,1.01,0.00,98.99
1774592732,0.50,1.00,0.00,98.50
