timestamp,disk_used_percent,disk_available_gb,disk_total_gb
1774507702,6,58,61
1774507703,6,58,61
1774507704,6,58,61
1774507705,6,58,61
1774507706,6,58,61
1774507707,6,58,61
1774507708,6,58,61
1774507709,6,58,61
1774507711,6,58,61
1774507712,6,58,61
1774507713,6,58,61
1774507714,6,58,61
1774507715,6,58,61
1774507716,6,58,61
1774507717,6,58,61
1774507718,6,58,61
1774507719,6,58,61
1774507720,6,58,61
1774507721,6,58,61
1774507722,6,58,61
1774507723,6,58,61
1774507724,6,58,61
1774507725,6,58,61
1774507726,6,58,61
1774507727,6,58,61
1774507728,6,58,61
1774507729,6,58,61
1774507730,6,58,61
1774507731,6,58,61
1774507732,6,58,61
1774507733,6,58,61
1774507734,6,58,61
1774507735,6,58,61
1774507736,6,58,61
1774507737,6,58,61
1774507738,6,58,61
1774507739,6,58,61
1774507740,6,58,61
1774507741,6,58,61
1774507742,6,58,61
1774507743,6,58,61
1774507744,6,58,61
1774507745,6,58,61
1774507746,6,58,61
1774507747,6,58,61
1774507748,6,58,61
1774507749,6,58,61
1774507750,6,58,61
1774507751,6,58,61
1774507752,6,58,61
1774507753,6,58,61
1774507754,6,58,61
1774507755,6,58,61
1774507756,6,58,61
1774507757,6,58,61
1774507758,6,58,61
1774507759,6,58,61
1774507760,6,58,61
1774507761,6,58,61
1774507762,6,58,61
1774507763,6,58,61
1774507764,6,58,61
1774507765,6,58,61
1774507766,6,58,61
1774507767,6,58,61
1774507768,6,58,61
1774507769,6,58,61
1774507770,6,58,61
1774507771,6,58,61
1774507772,6,58,61
1774507773,6,58,61
1774507774,6,58,61
1774507775,6,58,61
1774507776,6,58,61
1774507777,6,58,61
1774507779,6,58,61
1774507780,6,58,61
1774507781,6,58,61
1774507782,6,58,61
1774507783,6,58,61
1774507784,6,58,61
1774507785,6,58,61
1774507786,6,58,61
1774507787,6,58,61
1774507788,6,58,61
1774507789,6,58,61
1774507790,6,58,61
1774507791,6,58,61
1774507792,6,58,61
1774507793,6,58,61
1774507794,6,58,61
1774507795,6,58,61
1774507796,6,58,61
1774507797,6,58,61
1774507798,6,58,61
1774507799,6,58,61
1774507800,6,58,61
1774507801,6,58,61
1774507802,6,58,61
1774507803,6,58,61
1774507804,6,58,61
1774507805,6,58,61
1774507806,6,58,61
1774507807,6,58,61
1774507808,6,58,61
1774507809,6,58,61
1774507810,6,58,61
1774507811,6,58,61
1774507812,6,58,61
1774507813,6,58,61
1774507814,6,58,61
1774507815,6,58,61
1774507816,6,58,61
1774507817,6,58,61
1774507818,6,58,61
1774507819,6,58,61
1774507820,6,58,61
1774507821,6,58,61
1774507822,6,58,61
1774507823,6,58,61
1774507824,6,58,61
1774507825,6,58,61
1774507826,6,58,61
1774507827,6,58,61
1774507828,6,58,61
1774507829,6,58,61
1774507830,6,58,61
1774507831,6,58,61
1774507832,6,58,61
1774507833,6,58,61
1774507834,6,58,61
1774507835,6,58,61
1774507836,6,58,61
1774507837,6,58,61
1774507838,6,58,61
1774507839,6,58,61
1774507840,6,58,61
1774507842,6,58,61
1774507843,6,58,61
1774507844,6,58,61
1774507845,6,58,61
1774507846,6,58,61
1774507847,6,58,61
1774507848,6,58,61
1774507849,6,58,61
1774507850,6,58,61
1774507851,6,58,61
1774507852,6,58,61
1774507853,6,58,61
1774507854,6,58,61
1774507855,6,58,61
1774507856,6,58,61
1774507857,6,58,61
1774507858,6,58,61
1774507859,6,58,61
1774507860,6,58,61
1774507861,6,58,61
1774507862,6,58,61
1774507863,6,58,61
1774507864,6,58,61
1774507865,6,58,61
1774507866,6,58,61
1774507867,6,58,61
1774507868,6,58,61
1774507869,6,58,61
1774507870,6,58,61
1774507871,6,58,61
1774507872,6,58,61
1774507873,6,58,61
1774507874,6,58,61
1774507875,6,58,61
1774507876,6,58,61
1774507877,6,58,61
1774507878,6,58,61
1774507879,6,58,61
1774507880,6,58,61
1774507881,6,58,61
1774507882,6,58,61
1774507883,6,58,61
1774507884,6,58,61
1774507885,6,58,61
1774507886,6,58,61
1774507887,6,58,61
1774507888,6,58,61
1774507889,6,58,61
1774507890,6,58,61
1774507891,6,58,61
1774507892,6,58,61
1774507893,6,58,61
1774507894,6,58,61
1774507895,6,58,61
1774507896,6,58,61
1774507897,6,58,61
1774507898,6,58,61
1774507899,6,58,61
1774507900,6,58,61
1774507901,6,58,61
1774507903,6,58,61
1774507904,6,58,61
1774507905,6,58,61
1774507906,6,58,61
1774507907,6,58,61
1774507908,6,58,61
1774507909,6,58,61
1774507910,6,58,61
1774507911,6,58,61
1774507912,6,58,61
1774507913,6,58,61
1774507914,6,58,61
1774507915,6,58,61
1774507916,6,58,61
1774507917,6,58,61
1774507918,6,58,61
1774507919,6,58,61
